SMILES,WP:3844,GO:0000165,GO:0004896,KEGG:hsa04064,KEGG:hsa04210,KEGG:hsa04630,GO:0016209,GO:0098869,GO:0072593,GO:0006281
CN1C2=CC=CC(=C2N=C1CC3=NC(=CC(=O)N3)N4CCOCC4)C5=CC=CC=C5,1,0,0,0,0,0,0,0,0,0
C1COCCN1C2=CC(=O)NC(=N2)CC(=O)NC3=CC=C(C=C3)Cl,1,0,0,0,0,0,1,0,0,0
C1COCCN1C2=CC(=O)NC(=N2)CC(=O)NC3=CC=C(C=C3)F,1,0,0,0,0,0,1,0,0,0
C1=CC(=C2C(=C1)NC(=O)C3=CC(=NN=C3N2)Cl)C(=O)N,1,0,0,0,0,0,1,1,0,0
C1=CC=C(C=C1)C2=CC(=O)N3C4=CC=CC=C4N=C3N2,1,0,0,1,0,0,1,0,0,0
OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F,1,0,0,0,1,0,1,0,0,0
Oc1cccc2c1C(=O)c1c(cccc1O)C2=O,1,0,0,0,1,0,1,0,0,0
C[C@H]1COCCN1C2=NC(=NC3=C2NC(=N3)C4=CC(=C(C=C4)OC)C(=O)O)N5CCOCC5,1,0,0,0,0,0,0,0,0,0
CC(=O)NC1=NC(=C(N1)C2=CC3=C(S2)C4=C(C=CC=N4)OCC3)C5=CC=CC=C5Cl,1,0,0,0,0,0,0,0,0,0
CCOC(=O)C1=C(N=C(N=C1C2=CC=CC=C2F)NNC(=O)C3=CC=CC4=C3NC5=CC=CC=C5C4=O)C,1,0,0,0,0,0,1,0,0,0
CN(CCOC)C1=CC(=NC2=C1N=C(N=C2C3=CC(=CC(=C3)F)O)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
COCC1=CC(=CC=C1)C2=NC(=NC3=C2N=C(C=C3NCCO)C(=O)O)N4CCOCC4,1,0,0,0,0,0,0,0,0,0
COCCNC1=CC(=NC2=C1N=C(N=C2C3=CC=CC(=C3)COC)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
C1CCC(CC1)CN2C3=NC(=CN=C3NC2=O)C4=CC=C(C=C4)C(=O)O,1,0,0,0,0,0,0,0,0,0
C1CN(CCN1C(=O)CSC2=NC3=CC=CC=C3C(=O)N2)S(=O)(=O)C4=CC=CC=C4,1,0,0,0,0,0,1,0,0,0
C1COCCN1C2=CC(=O)NC(=N2)CC(=O)NC3=CSC=C3,1,0,0,0,0,0,1,0,0,0
CCCC1=CC=C(C=C1)C(CC2=NC3=C(N2)C=C(C=C3)I)CC(=O)O,1,0,0,0,0,0,1,0,0,0
CCOC1=C(C2=C(C=C1C)NC(=N2)CCC(=O)O)C.Cl,1,0,0,0,0,0,1,0,0,0
CN(CCO)C1=CC(=NC2=C1N=C(N=C2C3=CC=CC(=C3)COC)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
CN(CCOC)C1=CC(=NC2=C1N=C(N=C2C3=CC=CC(=C3)CO)N4CCOCC4)C(=O)O,1,0,0,0,0,0,0,0,0,0
C1=CC=C(C=C1)C2=C(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)/C=C/C4=NC5=C(N4)C=C(C=C5)Br,1,0,0,1,0,0,1,1,0,0
C1=CC=C(C=C1)C2=C(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)/C=C/C4=NC5=C(N4)C=C(C=C5)F,1,0,0,1,0,0,1,1,0,0
CC1=C(C(=NC(=N1)NNC(=O)C2=CC=CC3=C2NC4=CC=CC=C4C3=O)C5=CC=CC=C5)C(=O)OC,1,0,0,0,0,0,1,0,0,0
CC1=CC2=C(C=C1)N=C(N2)/C=C/C(=O)C3=C(C4=C(C=CC(=C4)Cl)NC3=O)C5=CC=CC=C5,1,0,0,1,0,0,1,1,0,0
COC(=O)C1=C(C=CC(=C1)NC(=O)CC2=NC(=CC(=O)N2)N3CCOCC3)F,1,0,0,0,0,0,1,0,0,0
C1=CC(=CC=C1C2=C(C(=O)NC3=C2C=C(C=C3)F)C(=O)/C=C/C4=NC5=C(N4)C=C(C=C5)F)F,1,0,0,1,0,0,1,1,0,0
